Rank,Peak,Title,WorldWide_Gross,Year
1,1,Avatar,$2787965087,2009
2,1,Titanic,$2187463944,1997
3,3,Star Wars: The Force Awakens,$2068223624,2015
4,4,Avengers: Infinity War,$2046909636,2018
5,3,Jurassic World,$1671713208,2015
6,3,The Avengers,$1518812988,2012
7,4,Furious 7,$1516045911,2015
8,5,Avengers: Age of Ultron,$1405403694,2015
9,9,Black Panther,$1346913161,2018
10,3,Harry Potter and the Deathly Hallows – Part 2,$1341511219,2011
11,9,Star Wars: The Last Jedi,$1332539889,2017
12,12,Jurassic World: Fallen Kingdom,$1304944060,2018
13F,5,Frozen,$1290000000,2013
14,10,Beauty and the Beast,$1263521126,2017
15,15,Incredibles 2,$1240875074,2018
16,11,The Fate of the Furious,F8$1238764765,2017
17,5,Iron Man 3,$1214811252,2013
18,10,Minions,$1159398397,2015
19,12,Captain America: Civil War,$1153304495,2016
20,4,Transformers: Dark of the Moon,$1123794079,2011
21,2,The Lord of the Rings: The Return of the King,$1120237002,2003
22,7,Skyfall,$1108561013,2012
23,10,Transformers: Age of Extinction,$1104054072,2014
24,7,The Dark Knight Rises,$1084939099,2012
25,4TS3,Toy Story 3,$1066969703,2010
26,3,Pirates of the Caribbean: Dead Man's Chest,$1066179725,2006
27,20,Rogue One: A Star Wars Story,$1056057273,2016
28,6,Pirates of the Caribbean: On Stranger Tides,$1045713802,2011
29,24,Despicable Me 3,$1034799409,2017
30,1,Jurassic Park,$1029939903,1993
31,22,Finding Dory,$1028570889,2016
32,2,Star Wars: Episode I – The Phantom Menace,$1027044677,1999
33,5,Alice in Wonderland,$1025467110,2010
34,24,Zootopia,$1023784195,2016
35,14,The Hobbit: An Unexpected Journey,$1021103568,2012
36,4,The Dark Knight,$1004558444,2008
37,2,Harry Potter and the Philosopher's Stone,$974755371,2001
38,19DM2,Despicable Me 2,$970761885,2013
39,2,The Lion King,$968483777,1994
40,30,The Jungle Book,$966550600,2016
41,5,Pirates of the Caribbean: At World's End,$963420425,2007
42,40,Jumanji: Welcome to the Jungle,$962077546,2017
43,10,Harry Potter and the Deathly Hallows – Part 1,$960283305,2010
44,24,The Hobbit: The Desolation of Smaug,$958366855,2013
45,26,The Hobbit: The Battle of the Five Armies,$956019788,2014
46,8FN,Finding Nemo,$940335536,2003
47,6,Harry Potter and the Order of the Phoenix,$939885929,2007
48,8,Harry Potter and the Half-Blood Prince,$934416487,2009
49,4,The Lord of the Rings: The Two Towers,$926349708,2002
50,6,Shrek 2,$919838758,2004
